Subject,Background,Gain,GroupCt_Videos,D_Eye,Alpha_Eye,D_Perceived
20237,2,-1.5,16,29.69992879,1.698152017,17.06371322
20237,1,0,7,5.525256335,1.371230875,0
20237,1,0,5,6.401697047,1.430264065,0
20237,1,0,7,4.434438311,1.369466854,0
20237,1,0,5,5.876118674,1.416013728,0
20237,1,0,8,3.874584573,1.340803648,0
20237,1,0,11,5.966192718,1.423800999,0
20237,2,0,7,29.49431721,1.724004758,0
20237,2,0,9,23.32222053,1.687515102,1.056819686
20237,2,0,7,30.62451065,1.730036135,0
20237,2,0,4,21.68945668,1.644026139,1.907798848
20237,2,0,5,9.53027436,1.510697435,0
20237,2,0,6,28.05700133,1.671998656,0
20237,1,1.5,10,6.94996234,1.449201761,4.843359793
20237,1,1.5,19,7.726517413,1.44369419,6.011232263
20237,1,1.5,9,4.482939941,1.371164218,2.744683455
20237,1,1.5,16,6.542795326,1.417500675,4.782607658
20237,1,1.5,13,4.708611325,1.369134439,3.55040107
20237,1,1.5,20,3.965699315,1.344231699,2.711181448
20237,2,1.5,16,10.70635401,1.55077167,1.755130013
20237,2,1.5,29,23.19137289,1.666026777,6.080570983
20237,2,1.5,10,47.09414167,1.742223333,0.587343912
20237,2,1.5,13,48.65093833,1.75055444,2.783943588
20237,2,1.5,23,24.78192402,1.67298188,0
20237,2,1.5,8,42.13744064,1.760554399,1.775430516
20256,1,-1.5,12,4.259746212,1.179541105,1.867429275
20256,1,-1.5,6,5.639399126,1.234403304,2.769868214
20256,1,-1.5,10,4.506622093,1.222096293,3.587827374
20256,1,-1.5,9,5.087957081,1.267354,1.152509375
20256,1,-1.5,10,6.136479443,1.26221701,2.621358289
20256,1,-1.5,7,5.609713752,1.190929823,1.744818576
20256,2,-1.5,12,6.887094419,1.210760956,8.003698022
20256,2,-1.5,9,7.561990295,0.983174211,14.59397104
20256,2,-1.5,11,4.126677606,1.103126544,3.694485752
20256,2,-1.5,11,4.518950923,0.989687997,10.18159264
20256,2,-1.5,13,8.376639692,1.087736404,9.188600399
20256,2,-1.5,6,7.699012169,1.126445242,5.544510597
20256,1,0,4,4.2119754,1.123030546,0
20256,1,0,4,3.902635768,1.181921023,0
20256,1,0,3,8.750862162,1.323403502,0
20256,1,0,4,4.587825693,1.22025419,0
20256,1,0,4,2.982560689,1.153194244,0
20256,1,0,3,4.348726841,1.202485268,0
20256,2,0,4,4.653161448,1.241100298,0
20256,2,0,5,6.369113267,1.278280986,0
20256,2,0,5,5.819558138,1.058920293,0
20256,2,0,4,6.942877019,1.141909396,0
20256,2,0,4,6.829847838,1.257155602,0
20256,2,0,6,7.610033104,1.266138681,0
